"Allan Hills A81013","1953","Valid","H6","Quantity[34.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.74111, 159.29667}]"
"Allan Hills A81014","1954","Valid","H5","Quantity[47.5, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.68944, 159.25611}]"
"Allan Hills A81015","1955","Valid","H4","Quantity[138.2, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.68861, 159.25667}]"
"Allan Hills A81016","1956","Valid","H5","Quantity[93.4, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.68528, 159.25833}]"
"Allan Hills A81017","1957","Valid","H6","Quantity[5.3, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.69056, 159.3725}]"
"Allan Hills A81018","1958","Valid","H4","Quantity[19.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.68944, 159.36917}]"
"Allan Hills A81019","1959","Valid","H5","Quantity[152.8, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.76111, 159.34417}]"
"Allan Hills A81020","1960","Valid","L3.5","Quantity[3.6, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-76.69083, 159.3725}]"
"Buckley Island 10951","5148","Valid","OC","Quantity[101, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{33.275, -102.96}]"
"Buckley Island 10952","5149","Valid","OC","Quantity[53, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{33.275, -102.96}]"
"Buckley Island 10959","5157","Relict","Relict H","Missing[""NotAvailable""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{63.11667, 14.28333}]"
"Coyote Dry Lake 153","5452","Valid","Iron, IIAB","Quantity[2156, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-27.95, 122.88333}]"
"Cullison","5460","Valid","L6","Quantity[284, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{-30.4, 127.43333}]"
"Dumont","7742","Valid","H6","Quantity[2284, ""Grams""]","Found","DateObject[{1980}, ""Year"", ""Gregorian"", -5.]","GeoPosition[{35.925, -101.895}]"
